id;name;language;country_list;short_name;root;adjective
20001;Közép-Amerika;hu;;MAM;;
20002;Skandinávia;hu;;SCA;;
20003;Balti Államok;hu;;BAS;;
20004;Közel-Kelet;hu;;MIE;;
20005;Óceánia;hu;;OCE;;
20001;Central America;en;bz,cr,sv,gt,hn,mx,ni,pa;MAM;t;Central American
20002;Scandinavia;en;dk,fi,is,no,se,fo;SCA;t;Scandinavian
20003;Baltic States;en;et,lv,lt;BAS;t;Baltics
20007;South-East Asia;en;bn,kh,id,la,my,mm,ph,sg,th,tl,vn;SEA;t;South-East Asian
20004;Middle East;en;bh,ir,iq,il,jo,kw,lb,om,qa,sa,sy,ae,tm;MIE;t;Middle eastern
20005;Oceania;en;AS,CK,FJ,FM,GU,KI,MH,MP,NC,NF,NR,NU,NZ,PF,PG,PN,PW,SB,TK,TL,TO,TV,UM,VU,WF,WS;OCE;t;Oceanian
20007;Dél-Kelet Ázsia;hu;;SEA;;
